job_id,log_file,run_name,variant,training_iters,batch_size_per_gpu,gpus,init_se,ft_mode,ft_last_n_layers,use_amp,eval_only,last_fid,last_mmd,last_esm_pppl,last_plddt,status,error_notes
38065104,logs/dima-base-1g-38065104.out,sanity_decoder_retrain,sanity_retrain,500,32,1,,full,0,1,0,,,,partial,oom_in_err_log
38065249,logs/dima-base-1g-38065249.out,domain_adaptive_denoiser,domain_adaptive_initial,5000,32,1,,full,0,1,0,6.81547,1.10004,567.46172,32.89318,partial,oom_in_err_log
38067100,logs/dima-base-1g-38067100.out,domain_adaptive_denoiser,domain_adaptive_resume,5000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/domain_adaptive_denoiser/checkpoints/diffusion_checkpoints/domain_adaptive_denoiser/1000.pth,full,0,1,0,8.80376,1.49501,244.63275,35.59927,implemented_run,
38073350,logs/dima-base-1g-38073350.out,reference_dima_eval,reference_eval_early,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38075574,logs/dima-base-1g-38075574.out,reference_dima_eval,reference_eval_retry,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38075630,logs/dima-base-1g-38075630.out,reference_dima_eval,reference_eval_retry,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38101345,logs/dima-base-1g-38101345.out,reference_dima_eval,reference_eval_retry,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38105384,logs/dima-base-1g-38105384.out,reference_dima_eval,reference_eval_retry,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38106895,logs/dima-base-1g-38106895.out,reference_dima_eval,reference_eval_retry,5000,32,1,,full,0,1,0,6.91203,1.18165,nan,0.0,run_metrics_missing,degenerate_metrics
38107929,logs/dima-base-1g-38107929.out,reference_dima_eval,reference_eval_improved,5000,32,1,,full,0,1,0,23.65436,3.50310,1.00419,61.97135,implemented_run,
38110284,logs/dima-base-1g-38110284.out,reference_dima_eval,reference_eval_validated,5000,32,1,,full,0,1,0,23.68523,3.50680,1.00430,61.83303,implemented_run,
38112128,logs/dima-base-1g-38112128.out,reference_dima_eval,reference_eval_validated,5000,32,1,,full,0,1,0,23.68523,3.50680,1.00430,61.83303,implemented_run,
38128244,logs/dima-base-1g-38128244.out,selected_step4500_eval,selected_step4500_eval,5000,32,1,,full,0,1,0,23.78363,3.52037,1.00457,58.77998,implemented_run,
38134120,logs/dima-base-1g-38134120.out,ft_last2_from_ref_5k_r6_noamp_lr3e6_noselfcond,partial_ft_last2,5000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/reference_dima_eval/checkpoints/diffusion_checkpoints/reference_dima_eval/5000.pth,last_n,2,0,0,,,,partial,size_mismatch_error
38134328,logs/dima-base-1g-38134328.out,ft_last2_from_ref_5k_r7_noamp_lr3e6_noselfcond,partial_ft_last2,5000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/reference_dima_eval/checkpoints/diffusion_checkpoints/reference_dima_eval/5000.pth,last_n,2,0,0,,,,partial,non_finite_total_loss
38134593,logs/dima-base-1g-38134593.out,ft_last2_from_ref_5k_r8_noamp_lr3e6_noselfcond_safe,partial_ft_last2_safe,5000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/reference_dima_eval/checkpoints/diffusion_checkpoints/reference_dima_eval/5000.pth,last_n,2,0,0,23.68523,3.50680,1.00430,61.83303,implemented_run,
38145569,logs/dima-base-1g-38145569.out,baseline_full_ft_single_gpu,baseline_full_ft_long,20000,32,1,,full,0,1,0,,,,partial,non_finite_total_loss
38147436,logs/dima-base-1g-38147436.out,eval_only_nan_guard_5000_v2,eval_only_guard,20000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/ft_last2_from_ref_5k_r8_noamp_lr3e6_noselfcond_safe/checkpoints/diffusion_checkpoints/ft_last2_from_ref_5k_r8_noamp_lr3e6_noselfcond_safe/5000.pth,full,0,1,1,23.68523,3.50680,1.00430,61.83303,implemented_run,
38147492,logs/dima-base-1g-38147492.out,eval_only_nan_guard_5000_v3_safe,eval_only_guard_safe,20000,32,1,/ocean/projects/cis260039p/aguda1/nndl/project/artifacts/ft_last2_from_ref_5k_r8_noamp_lr3e6_noselfcond_safe/checkpoints/diffusion_checkpoints/ft_last2_from_ref_5k_r8_noamp_lr3e6_noselfcond_safe/5000.pth,full,0,0,1,23.68523,3.50680,1.00430,61.83303,implemented_run,
